日期,证券代码,证券名称,现金流量比例,股息率,回购比例
2015/1/1,0001.HK,长和,0.022495639,8.0430,0.0000
2015/1/1,0002.HK,中电控股,0.040755923,3.8216,0.0000
2015/1/1,0003.HK,香港中华煤气,0.008043699,1.9707,0.0003
2015/1/1,0004.HK,九龙仓集团,0.03508759,3.0357,0.0000
2015/1/1,0005.HK,汇丰控股,0.010838347,5.1341,0.0000
2015/1/1,0006.HK,电能实业,0.038622371,3.3887,0.0000
2015/1/1,0008.HK,电讯盈科,0.034414958,3.8113,0.0000
2015/1/1,0011.HK,恒生银行,0.017553761,4.2570,0.0000
2015/1/1,0012.HK,恒基地产,-0.010208312,1.9521,0.0000
2015/1/1,0013!1.HK,和记黄埔(退市),0.020709866,10.4202,0.0000
2015/1/1,0014.HK,希慎兴业,0.050538471,3.3766,0.0000
2015/1/1,0016.HK,新鸿基地产,-0.014487377,2.8318,0.0000
2015/1/1,0017.HK,新世界发展,-0.01623587,4.7085,0.0000
2015/1/1,0019.HK,太古股份公司A,0.025299384,3.4653,0.0000
2015/1/1,0020!2.HK,会德丰(退市),-0.026630039,2.7624,0.0000
2015/1/1,0023.HK,东亚银行,-0.030142659,3.5520,0.0000
2015/1/1,0027.HK,银河娱乐,0.027466741,1.6037,0.0000
2015/1/1,0054.HK,合和实业(退市),0.0059662,3.8801,0.0014
2015/1/1,0066.HK,港铁公司,0.00622755,2.8931,0.0000
2015/1/1,0069.HK,香格里拉(亚洲),-0.004060792,1.1215,0.0000
2015/1/1,0081.HK,中国海外宏洋集团,-0.134415611,2.7919,0.0000
2015/1/1,0083.HK,信和置业,0.016598353,3.9936,0.0003
2015/1/1,0101.HK,恒隆地产,-0.0372192,3.4483,0.0000
2015/1/1,0119.HK,保利置业集团,-0.006032143,6.9906,0.0000
2015/1/1,0123.HK,越秀地产,-0.063765522,5.6376,0.0000
2015/1/1,0135.HK,昆仑能源,-0.013473227,3.1378,0.0000
2015/1/1,0142.HK,第一太平,-0.001526496,2.7308,0.0062
2015/1/1,0144.HK,招商局港口,0.016930353,2.9502,0.0000
2015/1/1,0148.HK,建滔集团,-0.030259121,3.8168,0.0000
2015/1/1,0151.HK,中国旺旺,0.004579703,2.6380,0.0021
2015/1/1,0152.HK,深圳国际,0.031339873,3.2865,0.0000
2015/1/1,0165.HK,中国光大控股,-0.00334025,1.6739,0.0163
2015/1/1,0168.HK,青岛啤酒股份,0.014420202,1.0779,0.0000
2015/1/1,0175.HK,吉利汽车,0.034291977,1.8623,0.0000
2015/1/1,0177.HK,江苏宁沪高速公路,0.052328243,5.1512,0.0000
2015/1/1,0178.HK,莎莎国际,0.047256621,4.3278,0.0000
2015/1/1,0179.HK,德昌电机控股,0.00829651,1.2960,0.0165
2015/1/1,0200.HK,新濠国际发展,-0.002471433,1.2164,0.0084
2015/1/1,0220.HK,统一企业中国,-0.10530315,0.8971,0.0000
2015/1/1,0242.HK,信德集团,-0.01500122,0.0000,0.0000
2015/1/1,0257.HK,光大环境,-0.012862981,0.7366,0.0000
