date,nav
2017-01-25,9961468.235839998
2017-01-26,10022233.43584
2017-01-27,10002504.42584
2017-02-01,9995077.125840003
2017-02-02,9912417.74584
2017-02-03,9957453.10584
2017-02-06,10103482.485839998
2017-02-07,10088965.76584
2017-02-08,10188881.48584
2017-02-09,10248254.625839999
2017-02-10,10253707.535840001
2017-02-13,10342776.555839997
2017-02-14,10415911.115839997
2017-02-15,10514095.595840001
2017-02-16,10498719.675839998
2017-02-17,10401248.815839998
2017-02-20,10485729.925839998
2017-02-21,10436692.445840001
2017-02-22,10568114.435839998
2017-02-23,10590175.395839998
2017-02-24,10499469.73584
2017-02-27,10462587.935839998
2017-02-28,10459040.005840002
2017-03-01,10474786.442639997
2017-03-02,10512475.142639998
2017-03-03,10434789.24264
2017-03-06,10432381.00264
2017-03-07,10481720.03264
2017-03-08,10521279.452639997
2017-03-09,10421250.29264
2017-03-10,10470492.16264
2017-03-13,10651688.13264
2017-03-14,10669945.262639998
2017-03-15,10684954.30264
2017-03-16,10821359.812639998
2017-03-17,10824672.96264
2017-03-20,10881908.512640001
2017-03-21,10884115.682640003
2017-03-22,10801915.82264
2017-03-23,10825650.932639996
2017-03-24,10812906.402639998
2017-03-27,10707154.122639999
2017-03-28,10803289.732639996
2017-03-29,10782550.382639999
2017-03-30,10695129.249919998
2017-03-31,10633299.809919996
2017-04-03,10791898.459919998
2017-04-05,10852331.569919998
2017-04-06,10798990.05992
2017-04-07,10856900.449919997
2017-04-10,10781751.269919999
2017-04-11,10678821.889919996
2017-04-12,10694251.149919998
2017-04-13,10718878.959919998
2017-04-18,10527013.80992
2017-04-19,10500164.38992
2017-04-20,10606987.20992
2017-04-21,10615572.479920002
2017-04-24,10596652.059920002
2017-04-25,10727814.95992
2017-04-26,10766053.03992
2017-04-27,10712575.13992
2017-04-28,10713527.03992
2017-05-02,10707066.373839999
2017-05-04,10567675.663839998
2017-05-05,10412295.823839998
2017-05-08,10453089.27384
2017-05-09,10578447.783839999
2017-05-10,10594790.79384
2017-05-11,10614883.133839998
2017-05-12,10580982.38384
2017-05-15,10558211.873839999
2017-05-16,10621814.683840001
2017-05-17,10630652.193840003
2017-05-18,10510548.09384
2017-05-19,10584488.673839998
2017-05-22,10708397.193839999
2017-05-23,10732978.453839997
2017-05-24,10764125.703839999
2017-05-25,10884044.24384
2017-05-26,10913539.733839996
2017-05-29,11028452.463839997
2017-05-31,11047524.99384
2017-06-01,11008344.717719998
2017-06-02,11066288.127720002
2017-06-05,11117012.16772
2017-06-06,11201145.68772
2017-06-07,11240029.277719997
2017-06-08,11350640.79772
2017-06-09,11264301.04772
2017-06-12,11114466.697719999
2017-06-13,11246614.797719998
2017-06-14,11304513.52772
2017-06-15,11170353.667720001
2017-06-16,11222506.847719997
2017-06-19,11306354.707719998
2017-06-20,11344725.17772
2017-06-21,11404027.58772
2017-06-22,11370054.217720002
2017-06-23,11366679.57772
2017-06-26,11448636.69772
2017-06-27,11462621.00772
2017-06-28,11365634.207720002
2017-06-29,11497244.727720002
2017-06-30,11493794.917719997
2017-07-03,11555825.021879997
2017-07-04,11424872.811879998
2017-07-05,11458063.761879994
2017-07-06,11594201.091879994
2017-07-07,11605652.421879994
2017-07-10,11639506.981879996
2017-07-11,11728700.711879997
2017-07-12,11709562.561879992
2017-07-13,11910941.131879995
2017-07-14,11917500.641879996
2017-07-17,11879466.021879995
2017-07-18,11866945.041879995
2017-07-19,12037220.751879998
2017-07-20,12125529.701879995
2017-07-21,12072901.141879994
2017-07-24,12126816.191879995
2017-07-25,12099146.101879993
2017-07-26,12042009.001879994
2017-07-27,12125432.001879996
2017-07-28,12058015.961879995
2017-07-31,12152131.141879994
2017-08-01,12022437.39944
2017-08-02,12079194.889439998
2017-08-03,12040543.779439997
2017-08-04,12059583.959439998
2017-08-07,12119973.879439998
2017-08-08,12242007.349439997
2017-08-09,12258940.349440001
2017-08-10,12064353.769439999
2017-08-11,11655566.359440003
2017-08-14,11804498.649440002
2017-08-15,11755983.879439998
2017-08-16,11833890.879439997
2017-08-17,11853076.42944
2017-08-18,11747808.189439999
2017-08-21,11852666.22944
2017-08-22,11958551.109439999
2017-08-24,11980657.13944
2017-08-25,12081834.21944
2017-08-28,12071369.049439995
2017-08-29,12027911.049439996
2017-08-30,12167511.859439999
2017-08-31,12274227.12944
2017-09-01,12288251.558799997
2017-09-04,12266263.8188
2017-09-05,12329512.778800001
2017-09-06,12287126.108799998
2017-09-07,12324676.8188
2017-09-08,12390413.198800001
2017-09-11,12482169.868800001
2017-09-12,12554378.948799998
2017-09-13,12631141.948800001
2017-09-14,12687067.508800002
2017-09-15,12639223.208800001
2017-09-18,12799858.428799998
2017-09-19,12729790.1288
2017-09-20,12793402.028799998
2017-09-21,12868935.788799997
2017-09-22,12732231.658799998
2017-09-25,12297883.7488
2017-09-26,12286291.9688
2017-09-27,12401112.578799997
2017-09-28,12200774.94024
2017-09-29,12378959.36024
2017-10-03,12666296.340240002
2017-10-04,12760391.300239999
2017-10-06,12905151.03024
2017-10-09,12822613.230240002
2017-10-10,12928099.470240002
2017-10-11,12769418.790239997
2017-10-12,12907614.620240005
2017-10-13,12860886.62024
2017-10-16,12952055.430239998
2017-10-17,12926899.930240002
2017-10-18,13029836.740239998
2017-10-19,12756563.43024
2017-10-20,13047617.38024
2017-10-23,13086415.680240002
2017-10-24,13018016.14024
2017-10-25,13152412.44024
2017-10-26,13068285.980239999
2017-10-27,12871769.530239996
2017-10-30,12823187.640239997
2017-10-31,12991315.610240001
2017-11-01,13016489.50288
2017-11-02,13003012.82288
2017-11-03,12980667.992879994
2017-11-06,12945274.662879996
2017-11-07,13072211.202879999
