date,side,symbol,qty,price,cost
2017-01-25,BUY,0175.HK,43233,7.71,1333.30572
2017-01-25,BUY,1988.HK,79176,4.21,1333.32384
2017-01-25,BUY,1635.HK,115740,2.88,1333.3248
2017-01-25,BUY,2238.HK,60168,5.54,1333.3228800000002
2017-01-25,BUY,1128.HK,29708,11.22,1333.29504
2017-01-25,BUY,1288.HK,178253,1.87,1333.3324400000001
2017-01-25,BUY,0868.HK,71530,4.66,1333.3192
2017-01-25,BUY,2588.HK,11498,28.99,1333.3080799999998
2017-01-25,BUY,1359.HK,215053,1.55,1333.3286
2017-01-25,BUY,0941.HK,6220,53.59,1333.3192000000001
2017-01-25,BUY,0998.HK,115340,2.89,1333.3304
2017-01-25,BUY,0604.HK,187265,1.78,1333.3268
2017-01-25,BUY,0881.HK,41771,7.98,1333.33032
2017-01-25,BUY,1658.HK,106837,3.12,1333.32576
2017-01-25,BUY,0027.HK,9992,33.36,1333.33248
2017-01-25,BUY,2388.HK,15857,21.02,1333.25656
2017-01-25,BUY,1336.HK,12737,26.17,1333.3091600000002
2017-01-25,BUY,0728.HK,133868,2.49,1333.32528
2017-01-25,BUY,0148.HK,19747,16.88,1333.31744
2017-01-25,BUY,6818.HK,155038,2.15,1333.3268
2017-01-25,BUY,6099.HK,40799,8.17,1333.31132
2017-01-25,BUY,0939.HK,97181,3.43,1333.3233200000002
2017-01-25,BUY,0425.HK,15283,21.81,1333.28892
2017-01-25,BUY,3328.HK,99800,3.34,1333.328
2017-01-25,BUY,1628.HK,208333,1.6,1333.3312000000003
2017-01-25,BUY,0658.HK,40064,8.32,1333.3299200000001
2017-01-25,BUY,0003.HK,43122,7.73,1333.33224
2017-01-25,BUY,1199.HK,63251,5.27,1333.33108
2017-01-25,BUY,0002.HK,6025,55.32,1333.212
2017-01-25,BUY,1928.HK,10041,29.24,1174.39536
2017-03-01,SELL,1988.HK,79176,4.39,1390.3305599999999
2017-03-01,SELL,1635.HK,115740,2.94,1361.1024
2017-03-01,SELL,2238.HK,60168,6.75,1624.536
2017-03-01,SELL,1288.HK,178253,2.08,1483.06496
2017-03-01,SELL,0868.HK,71530,4.72,1350.4864
2017-03-01,SELL,0604.HK,187265,1.85,1385.761
2017-03-01,SELL,0881.HK,41771,9.29,1552.2103599999998
2017-03-01,SELL,1658.HK,106837,3.29,1405.9749199999999
2017-03-01,SELL,0027.HK,9992,35.45,1416.8656
2017-03-01,SELL,0728.HK,133868,2.47,1322.6158400000002
2017-03-01,SELL,6099.HK,40799,8.29,1352.89484
2017-03-01,SELL,0939.HK,97181,3.83,1488.8129199999998
2017-03-01,SELL,0425.HK,15283,20.69,1264.8210800000002
2017-03-01,SELL,3328.HK,99800,3.61,1441.112
2017-03-01,SELL,1628.HK,208333,1.66,1383.3311199999998
2017-03-01,SELL,0658.HK,40064,8.47,1357.36832
2017-03-01,SELL,0002.HK,6025,57.74,1391.534
2017-03-01,SELL,1928.HK,10041,28.32,1137.44448
2017-03-01,BUY,2388.HK,464,21.36,39.64416
2017-03-01,BUY,0607.HK,2355,148.01,1394.2542
2017-03-01,BUY,0005.HK,8098,43.05,1394.4756
2017-03-01,BUY,0874.HK,20939,16.65,1394.5374
2017-03-01,SELL,1128.HK,312,11.86,14.801279999999998
2017-03-01,SELL,0175.HK,5624,9.27,208.53791999999999
2017-03-01,BUY,3618.HK,116600,2.99,1394.536
2017-03-01,BUY,0694.HK,48153,7.24,1394.51088
2017-03-01,BUY,0148.HK,748,17.01,50.89392000000001
2017-03-01,BUY,0003.HK,786,7.94,24.96336
2017-03-01,BUY,0700.HK,1888,184.58,1393.9481600000001
2017-03-01,BUY,2588.HK,336,29.46,39.59424
2017-03-01,BUY,1113.HK,8923,39.07,1394.48644
2017-03-01,BUY,1336.HK,409,26.52,43.386720000000004
2017-03-01,BUY,0941.HK,274,53.68,58.83328
2017-03-01,BUY,0392.HK,11555,30.17,1394.4574000000002
2017-03-01,BUY,0135.HK,97931,3.56,1394.53744
