调仓日,证券代码
2017/1/24,0175.HK
2017/1/24,1988.HK
2017/1/24,1635.HK
2017/1/24,2238.HK
2017/1/24,1128.HK
2017/1/24,1288.HK
2017/1/24,0868.HK
2017/1/24,2588.HK
2017/1/24,1359.HK
2017/1/24,0941.HK
2017/1/24,0998.HK
2017/1/24,0604.HK
2017/1/24,0881.HK
2017/1/24,1658.HK
2017/1/24,0027.HK
2017/1/24,2388.HK
2017/1/24,1336.HK
2017/1/24,0728.HK
2017/1/24,0148.HK
2017/1/24,6818.HK
2017/1/24,6099.HK
2017/1/24,0939.HK
2017/1/24,0425.HK
2017/1/24,3328.HK
2017/1/24,1628.HK
2017/1/24,0658.HK
2017/1/24,0003.HK
2017/1/24,1199.HK
2017/1/24,0002.HK
2017/1/24,1928.HK
2017/10/31,1113.HK
2017/10/31,1928.HK
2017/10/31,3988.HK
2017/10/31,0656.HK
2017/10/31,0683.HK
2017/10/31,0321.HK
2017/10/31,2601.HK
2017/10/31,0168.HK
2017/10/31,1177.HK
2017/10/31,1199.HK
2017/10/31,0027.HK
2017/10/31,2600.HK
2017/10/31,0439.HK
2017/10/31,0175.HK
2017/10/31,0914.HK
2017/10/31,0762.HK
2017/10/31,1918.HK
2017/10/31,0884.HK
2017/10/31,1308.HK
2017/10/31,1098.HK
2017/10/31,1088.HK
2017/10/31,2202.HK
2017/10/31,1478.HK
2017/10/31,1128.HK
2017/10/31,2628.HK
2017/10/31,0345.HK
2017/10/31,1316.HK
2017/10/31,0960.HK
2017/10/31,2319.HK
2017/10/31,0337.HK
2017/11/30,1918.HK
2017/11/30,0175.HK
2017/11/30,0027.HK
2017/11/30,0008.HK
2017/11/30,1098.HK
2017/11/30,0960.HK
2017/11/30,1478.HK
2017/11/30,0012.HK
2017/11/30,0179.HK
2017/11/30,1310.HK
2017/11/30,0700.HK
2017/11/30,0548.HK
2017/11/30,0884.HK
2017/11/30,0291.HK
2017/11/30,0011.HK
2017/11/30,0019.HK
2017/11/30,0966.HK
2017/11/30,0392.HK
2017/11/30,1128.HK
2017/11/30,1288.HK
2017/11/30,2888.HK
2017/11/30,3988.HK
2017/11/30,0683.HK
2017/11/30,2600.HK
2017/11/30,0165.HK
2017/11/30,0345.HK
2017/11/30,0586.HK
2017/11/30,2007.HK
2017/11/30,3377.HK
2017/11/30,1972.HK
2017/12/29,1918.HK
2017/12/29,0175.HK
2017/12/29,1928.HK
2017/12/29,0291.HK
2017/12/29,1113.HK
2017/12/29,0884.HK
2017/12/29,2588.HK
2017/12/29,0168.HK
2017/12/29,0019.HK
2017/12/29,1088.HK
2017/12/29,0322.HK
2017/12/29,0941.HK
2017/12/29,0010.HK
2017/12/29,1098.HK
2017/12/29,0392.HK
2017/12/29,2202.HK
2017/12/29,1972.HK
2017/12/29,0008.HK
2017/12/29,1478.HK
2017/12/29,2888.HK
2017/12/29,0762.HK
2017/12/29,0027.HK
2017/12/29,3380.HK
2017/12/29,0683.HK
2017/12/29,0179.HK
2017/12/29,0659.HK
2017/12/29,0425.HK
2017/12/29,0337.HK
2017/12/29,0867.HK
2017/12/29,3988.HK
2017/2/28,2388.HK
2017/2/28,0607.HK
2017/2/28,0005.HK
2017/2/28,0874.HK
2017/2/28,1128.HK
2017/2/28,0175.HK
2017/2/28,3618.HK
2017/2/28,0694.HK
2017/2/28,0148.HK
2017/2/28,0003.HK
2017/2/28,0700.HK
2017/2/28,2588.HK
2017/2/28,1113.HK
2017/2/28,6818.HK
2017/2/28,1336.HK
2017/2/28,0941.HK
2017/2/28,0392.HK
2017/2/28,0135.HK
2017/2/28,1044.HK
2017/2/28,0656.HK
2017/2/28,1776.HK
2017/2/28,0101.HK
2017/2/28,0004.HK
2017/2/28,0200.HK
2017/2/28,6178.HK
2017/2/28,0998.HK
2017/2/28,1199.HK
2017/2/28,0363.HK
2017/2/28,0981.HK
2017/2/28,1359.HK
2017/3/29,1658.HK
2017/3/29,1310.HK
2017/3/29,0941.HK
2017/3/29,2388.HK
2017/3/29,0881.HK
2017/3/29,0939.HK
2017/3/29,0175.HK
2017/3/29,0386.HK
2017/3/29,1628.HK
2017/3/29,1088.HK
2017/3/29,0004.HK
2017/3/29,3618.HK
2017/3/29,1888.HK
2017/3/29,2588.HK
2017/3/29,1128.HK
2017/3/29,0874.HK
2017/3/29,0135.HK
2017/3/29,0696.HK
2017/3/29,6808.HK
2017/3/29,0347.HK
2017/3/29,0819.HK
2017/3/29,0680.HK
2017/3/29,1882.HK
2017/3/29,0148.HK
2017/3/29,0799.HK
2017/3/29,1299.HK
2017/3/29,0003.HK
2017/3/29,0656.HK
2017/3/29,0506.HK
2017/3/29,0392.HK
2017/4/28,0386.HK
2017/4/28,1610.HK
2017/4/28,0546.HK
2017/4/28,0921.HK
2017/4/28,0669.HK
2017/4/28,1033.HK
2017/4/28,0895.HK
2017/4/28,0700.HK
2017/4/28,0868.HK
2017/4/28,1083.HK
2017/4/28,0981.HK
2017/4/28,0027.HK
2017/4/28,1888.HK
2017/4/28,6066.HK
2017/4/28,0267.HK
2017/4/28,3377.HK
2017/4/28,0175.HK
2017/4/28,1988.HK
2017/4/28,0004.HK
2017/4/28,1128.HK
2017/4/28,0696.HK
2017/4/28,6818.HK
2017/4/28,0123.HK
2017/4/28,1193.HK
2017/4/28,1628.HK
2017/4/28,3808.HK
2017/4/28,3328.HK
2017/4/28,2007.HK
2017/4/28,0285.HK
2017/4/28,0288.HK
2017/5/31,0148.HK
2017/5/31,2588.HK
2017/5/31,0027.HK
2017/5/31,1088.HK
2017/5/31,3377.HK
2017/5/31,1610.HK
2017/5/31,0288.HK
2017/5/31,0700.HK
2017/5/31,0960.HK
2017/5/31,1083.HK
2017/5/31,0017.HK
2017/5/31,1988.HK
2017/5/31,3328.HK
2017/5/31,0522.HK
2017/5/31,1030.HK
2017/5/31,1888.HK
2017/5/31,0981.HK
2017/5/31,0200.HK
2017/5/31,6808.HK
2017/5/31,0819.HK
2017/5/31,2382.HK
2017/5/31,1628.HK
2017/5/31,2331.HK
2017/5/31,3396.HK
2017/5/31,0142.HK
2017/5/31,6818.HK
2017/5/31,0440.HK
2017/5/31,2007.HK
2017/5/31,0004.HK
2017/5/31,0728.HK
2017/6/30,1138.HK
2017/6/30,0148.HK
2017/6/30,0200.HK
2017/6/30,1888.HK
2017/6/30,0881.HK
2017/6/30,0386.HK
2017/6/30,2768.HK
2017/6/30,0027.HK
2017/6/30,0696.HK
2017/6/30,0680.HK
2017/6/30,1610.HK
2017/6/30,0268.HK
2017/6/30,0005.HK
2017/6/30,1083.HK
2017/6/30,1033.HK
2017/6/30,0341.HK
2017/6/30,3808.HK
2017/6/30,3900.HK
2017/6/30,2338.HK
2017/6/30,0998.HK
2017/6/30,2588.HK
2017/6/30,0468.HK
2017/6/30,0921.HK
2017/6/30,2331.HK
2017/6/30,0868.HK
2017/6/30,0700.HK
2017/6/30,0728.HK
2017/6/30,0546.HK
2017/6/30,2600.HK
2017/6/30,0123.HK
2017/7/31,0148.HK
2017/7/31,0200.HK
2017/7/31,0921.HK
2017/7/31,2331.HK
2017/7/31,2768.HK
2017/7/31,1138.HK
2017/7/31,0135.HK
2017/7/31,1288.HK
2017/7/31,0546.HK
2017/7/31,0016.HK
2017/7/31,0123.HK
2017/7/31,0939.HK
2017/7/31,1658.HK
2017/7/31,0267.HK
2017/7/31,0966.HK
2017/7/31,0386.HK
2017/7/31,1928.HK
2017/7/31,0175.HK
2017/7/31,1088.HK
2017/7/31,0268.HK
2017/7/31,2600.HK
2017/7/31,0998.HK
2017/7/31,0027.HK
2017/7/31,2007.HK
2017/7/31,1193.HK
2017/7/31,0285.HK
2017/7/31,0960.HK
2017/7/31,1186.HK
2017/7/31,6818.HK
2017/7/31,1628.HK
2017/8/31,0027.HK
2017/8/31,2588.HK
2017/8/31,0881.HK
2017/8/31,1928.HK
2017/8/31,1138.HK
2017/8/31,0939.HK
2017/8/31,2338.HK
2017/8/31,0175.HK
2017/8/31,1628.HK
2017/8/31,2382.HK
2017/8/31,0345.HK
2017/8/31,0680.HK
2017/8/31,1128.HK
2017/8/31,1055.HK
2017/8/31,1088.HK
2017/8/31,0322.HK
2017/8/31,0148.HK
2017/8/31,0966.HK
2017/8/31,0546.HK
2017/8/31,0016.HK
2017/8/31,0004.HK
2017/8/31,3339.HK
2017/8/31,3328.HK
2017/8/31,1083.HK
2017/8/31,1658.HK
2017/8/31,2768.HK
2017/8/31,0696.HK
2017/8/31,0267.HK
2017/8/31,1610.HK
2017/8/31,0468.HK
2017/9/27,1128.HK
2017/9/27,0175.HK
2017/9/27,0322.HK
2017/9/27,2600.HK
2017/9/27,1918.HK
2017/9/27,0321.HK
2017/9/27,1972.HK
2017/9/27,3339.HK
2017/9/27,0012.HK
